Tamaño Dataset,Precision
1000,0.8721428571428571
2000,0.8762142857142857
3000,0.8787142857142857
4000,0.8777142857142857
5000,0.8812857142857143
6000,0.8829285714285714
7000,0.8862857142857142
8000,0.8827142857142857
9000,0.8813571428571428
10000,0.8819285714285714
11000,0.8826428571428572
12000,0.8813571428571428
13000,0.8845
14000,0.8834285714285715
15000,0.885
16000,0.8853571428571428
17000,0.8852857142857142
18000,0.8861428571428571
19000,0.8875
20000,0.8872142857142857
